A/k1|bonus, boni, melior, optimus|gut
S/u|portus, portus, m|Hafen
A/ao|diversus, diversi, diversior, diversissimus|entgegengesetzt, feindlich, verschieden
S/a|lingua, linguae, f|Sprache, Rede
V/a/a|constare, consto, constiti|feststehen, kosten
S/u|usus, usus|Benutzung, Nutzen
O|usui esse|von Nutzen sein
S/o/n|pretium, pretii, n|Preis, Wert, Geld
V/k|sumere, sumo, sumpsi, sumptum|nehmen
A/ao|magnus, magni, maior, maximus|groß
O|scilicet|freilich, natürlich, selbstverständlich
V/a|lavare, lavo, lavi, lautum|waschen, reinigen
O|manus manum lavat|eine Hand wäscht die andere
V/a|optare, opto, optavi, optatum|wünschen
O|quippe|freilich
A/ao|parvus, parvi, minor, minimus|klein
V/k|vehere, veho, vexi, vectum|fahren, tragen, ziehen
O|maxime|am meisten, besonders
