#|Lektion 49 / jh|
v/k/d|mori, morior, mortuus sum|sterben
v/a/d|mirari, miror, miratus sum|bewundern, sich wundern
v/e/dx|tueri, tueor|betrachten, schützen
v/ki/d|egredi, egredior, egressus sum|herausgehen, verlassen
v/a/d|morari, moror, moratus sum|(sich) aufhalten
b|decem|zehn
v/a/d|hortari, hortor, hortatus sum|auffordern, ermahnen
b|priusquam|bevor, eher als
a/k1/p|praesens, praesentis|anwesend, gegenwärtig
v/k/d|loqui, loquor, locutus sum|reden, sprechen
b|mille|tausend
s/o/p|superi, superorum|die Götter
s/o/p|inferi, inferorum|Unterwelt (-ler)
v/i|servire, servio, servivi, servitum|dienen, Sklave sein
a/ao/p|salvus, salvi|gesund, unversehrt
v/k/d|nasci, nascor, natus sum|entstehen, geboren werden
v/e/d|vereri, vereor, veritus sum|fürchten, sich scheuen
v/k/d|uti, utor, usus sum|benutzen, gebrauchen
v/e/d|videri, videor, visus sum|scheinen, gelten als
s/k|pectus, pectoris|Brust, Herz
w|in lucem proferre|ans Licht bringen, verraten
a/ao/p|proximus, proximi|der nächste
v/k/d|proficisci, proficiscor, profectus sum|abreisen, aufbrechen
