#|Lektion 50 / jh|
s/o/n|saeculum, saeculi|Jahrhundert, Zeitalter
s/k|natio, nationis|Volk, Volksstamm
v/k/d|queri, queror, questus sum|klagen, sich beklagen
v/a/d|opinari, opinor, opinatus sum|glauben, meinen
s/a|culpa, culpae|Schuld
s/k|iudex, iudicis|Richter
s/k|ius, iuris|Recht
w|iure optimo|mit vollem Recht
v/ki/d|oriri, orior, ortus sum|entstehen, sich erheben
v/e|possidere, possideo, possedi, possessum|besitzen
v/ki/d|pati, patior, passus sum|erleiden, ertragen, zulassen
w|monere, ne|warnen, dass
v/k/d|sequi, sequor, secutus sum|folgen
v/ki/d|progredi, progredior, progressus sum|vorrücken, weitergehen
v/ki/d|aggredi, aggredior, aggressus sum|angreifen, herangehen
v/k|proponere, propono, proposui, propositum|darlegen, in Aussicht stellen
v/e/d|polliceri, polliceor, pollicitus sum|versprechen
a/ao/p|aeternus, aeterni|ewig
v/k/d|consequi, consequor, consecutus sum|erreichen, nachfolgen
b|proinde|also, daher
v/a|cessare, cesso, cessavi, cessatum|rasten, zögern
v/k|coniungere, coniungo, coniunxi, coniunctum|verbinden, vereinigen
v/a|iuvare, iuvo, iuvi, iutum|unterstützen, erfreuen
a/k1/p|infelix, infelicis|unglücklich
b|sub|unter, unten an/bei
