s/a|ora, orae, f|die/ eine Küste
a/ao/p|summus, summi |höchster, oberster
v/ki|eripere, eripio, eripui, ereptum|reißen, entreißen, rauben
v/a|invitare, invito, invitavi, invitatum|einladen
s/o/n|incendium, incendii, n|der/ein Brand, das/ein Feuer
v/k|expellere, expello, expuli, expulsum|vertreiben, ausstoßen
v/i|invenire, invenio, inveni, inventum|finden, erfinden
v/i|munire, munio, munivi, munitum|befestigen, sichern
o|profecto|in der Tat, sicherlich
a/ao/p|invitus, inviti|unwillig, gegen den eigenen Willen
a/ao/p|contentus, contenti|zufrieden
v/a|vocare, voco, vocavi, vocatum|rufen
s/o/n|fatum, fati, n|der/ein Götterspruch, das/ein Schicksal
v/k|condere, condo, condidi, conditum|günden
s/u|portus, portus, m|der/ein Hafen
o|deinde|dann, darauf
s/i|aedes, aedis, f|das/ein Gotteshaus, der/ein Tempel
s/!|aedes, aedium, f|das/ein Wohnhaus
a/ao/p|regius, regii|königlich
v/!|oportet|es ist notwendig, man muss
v/!|oportuit|es war notwendig, man musste
v/a|navigare, navigo,navigavi, navigatum|segeln
v/k|addere, addo, addidi, additum|hinzufügen, beifügen
s/o/n|caelum, caeli, n|der/ein Himmel, das/ein Wetter/das/ein Klima
v/!|perire, pereo, perii|zugrunde gehen, umkommen
o|postremum|zum letzten Mal
