v/e/a|studere, studeo, studui|mit Dat. Sich bemühen um, studieren
o|quantus, quanti|wie groß?
v/k|committere, committo, commisi, commissum|zusammenführen, beginnen
v/a|ignorare, ignoro, ignoravi, ignoratum|nicht kennen, nicht wissen
o|non ignorare|genau wissen, gut kennen
v/a|expugnare, expugno, expugnavi, expugnatum|erobern
s/k/n|opus, operis, n|das/ein Werk, das ein Bauwerk
o|opus est|(mit AcI) es ist nötig
a/ao/p|certus, certi|sicher, zuverlässig, bestimmt
o|certe|sicher(lich)
v/k|crescere, cresco, crevi, cretum|wachsen, sich steigern, größer/stärker werden
v/a|mandare, mando, mandavi, mandatum|anvertrauen, auftragen, befehlen
v/ki|suspicere, suspicio, suscepi, susceptum|auf sich nehmen, übernehmen
s/a|audacia, audaciae, f |die/eine Kühnheit, (der) Mut, die/eine Frechheit
o|neque|und nicht, auch nicht
o|nec|und nicht, auch nicht
o|neque...neque|weder...noch
o|nec...nec|weder...noch
a/ao/p|egregius, egregii|außergewöhnlich
v/e|habere, habeo, habui, habitum|haben, halten
a/k2|utilis, utilis, utilior, utilimus|nützlich
s/o|nuntius, nuntii, m|der/in Bote, die/eine Botschaft, die/eine Meldung, die/eine Meldung
o|certiorem facere|jmdn. benachrichtigen
o|in animo habere|im Sinne haben, beabsichtigen
