a/ao/p|secundus, secundi|zweiter, nächster
v/ki|finire, finio, finivi, finitum|beenden, begrenzen
v/k|restituere, restituo, restitui, restituum|wiederherstellen, wieder aufbauen
s/k/p|opes, opum, f|(die) Hilfsmittel, die/eine Macht, (der) Reichtum, (die) Truppen
v/!|inferre, inferro,intuli, illatum|hineintragen, zufügen
o|bellum inferre|mit jemdn. Krieg anfangen
v/e|delere, deleo, delevi, deletum|zerstören
o|ergo|also
v/ki|subicere, subicio, subieci, subiectum|unterwerfen, unterordnen, preisgeben
o|sin|wenn aber
o|animum dimittere|den Mut verlieren, die Hoffnung verlieren
s/a|invidia, invidiae, f|(der) Neid
o|contra|(mit Akk.) gegen
v/k/a|metuere, metuo, metui|fürchten
o|necesse est|es ist nötig, notwendig
a/k2/p|talis, talis|solcher
a/k1|potens, potentis, potentior, potentissimus|mächtig
v/a|oppugnare, oppugno, oppugnavi, oppugnatum|angreifen, bestürmen
v/ki|consentire, consentio, consensi, consensum|übereinstimmen, zustimmen, sich einig sein
a/ao/p|cupidus, cupidi|gierig, begierig (auf)
o|superior, superioris|früher, vorig, höher
v/a/a|praestare, praesto, praestiti|jmdm. Vorstehen, (mit Dat.) jmdn übertreffen, (m. Akk.) etwas leisten
s/a|industria, industriae, f|(der) Fleiß
s/o|philosophus, philosophi, m|der/ein Philosoph, der/ein Gelehrter
v/a|habitare, habito, habitavi, habitatum|wohnen
v/e|docere, doceo, docui, doctum|lehren
s/a|scientia, scientiae, f|(das) Wissen, die/eine Kenntnis
s/o/n|consultum, consulti, n|der/ein Plan, der/ein Beschluss
o|paulo post|wenig später
s/k/n|foedus, foederis, n|das/ein Bündnis
v/ki|diripere, diripio, diripui, diriptum|(aus)plündern, rauben
o|causa|(mit Gen.) wegen
